Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000878297,0.000734404,0.000575272,0.000491427,0.001552095,0.001633733,0.001379482,0.000925463,0.000937353,0.00116676,0.000819359,0.001002439,0.000848487,0.000717946,0.000703182,0.000712137,0.000657229,0.00069997,0.000685497,0.0006534,0.000940949,0.000918692,0.000949223,0.000967668,0.002361284,0.001948056,0.001972589,0.002236107,0.003235418,0.00238784,0.003343924,0.002826958,0.001874913,,,
Africa Eastern and Southern,AFE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,5.292734696,4.341179959,4.135770182,5.724202862,6.619079286,5.514821356,6.000952078,6.479781753,5.710863125,7.852229715,12.15375935,9.886366317,10.0222725,8.546095179,6.25387204,9.046490031,7.841122577,7.38968647,8.180344859,8.095900763,7.289594087,5.646897073,5.930162398,5.150285294,6.753213718,6.975084002,7.690568271,6.449124232,5.726061647,4.70371409,6.235006636,6.492223133,6.910851549,6.552983417,8.117461778,9.044122637,10.25630102,12.0950663,18.34541518,9.862739605,11.82334148,14.01675234,11.2458841,10.78650033,9.241469922,6.210503698,6.579524234,7.181176429,6.823513219,6.410473958,6.3271289,
Afghanistan,AFG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.302881585,0.373956335,0.435217045,0.871075189,1.151166842,1.646186674,1.905071937,1.807280862,1.630353242,2.243891947,2.610635109,2.074573316,,,,,,,,,,,,,,,,,,,,,1.024958464,0.710719564,0.440392701,0.382005712,0.502551364,0.449303643,0.610294178,0.41727744,0.61264487,0.877758007,0.706844302,0.558013471,0.54446518,0.514492083,0.627717585,0.71933894,0.891281199,0.692528088,0.653621703,
Africa Western and Central,AFW,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,2.996055301,3.338362736,3.129945165,5.05365169,21.52635522,16.56623771,15.10434997,18.04729846,15.063135,30.17034547,19.67303192,4.697501931,3.708867961,6.073147484,10.29360719,10.2993009,6.384906854,9.606278798,8.636269458,15.58315777,17.43649372,12.04019767,13.45539818,14.70376928,15.20281765,15.18846154,15.77060512,13.83151126,8.468436689,9.869402052,17.25214826,12.15192628,10.74203432,11.68009321,14.22950671,18.72130407,17.62329112,16.52105486,18.8542859,11.71736624,14.8875542,19.00997735,17.14260062,13.29761683,11.47233311,6.48294995,6.434640727,9.46926845,11.0572056,9.521819951,7.395260058,
Angola,AGO,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,20.56742374,10.73791442,5.349614072,10.81825923,16.69974062,15.19313353,7.48478934,17.30292532,15.67805001,23.24870305,28.9385762,,,,51.69444679,42.22286818,45.99908095,39.26449298,18.37810037,40.03055055,55.47635659,38.51629747,27.6698307,24.10568958,40.18196677,45.80972258,43.47871695,46.2764616,55.87479476,30.80489038,40.18684238,41.09317327,36.28887798,30.85046542,23.75862606,10.82928906,10.89222027,16.43678183,27.53311928,26.13835474,25.51796283,
Albania,ALB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,16.1937728,16.50862948,7.698485156,10.69995959,11.09039308,13.56350694,11.03545545,10.48510497,11.46400417,3.01155256,1.623181907,1.295075725,1.251552045,1.35518895,0.320719342,0.531109875,1.098001422,0.756032683,0.760866015,0.733223813,0.770895917,1.018512733,1.32188534,1.761107619,1.110083362,0.606046436,1.574519863,3.178913765,3.377231807,2.947423285,3.075894748,1.621849096,1.333143971,1.435785978,1.868235884,1.779665217,1.253771732,
Andorra,AND,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Arab World,ARB,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,15.06923896,14.8429927,17.15032421,22.1788411,49.51586792,39.98004231,39.92124262,38.55812534,34.47409789,58.0603163,52.17706962,38.96977881,25.20334765,24.89577403,24.31143424,21.64676203,14.02016541,17.95331659,17.14072259,23.60763833,23.6001978,18.88405147,20.76190146,20.02309038,18.08684201,18.28870531,20.89194129,18.24674278,12.54277107,16.40406638,25.723123,20.97643307,20.06306783,22.43114987,26.75130808,33.40342638,33.84848476,30.79998927,35.10779005,22.47502883,26.03955563,36.18988801,35.3377494,32.4616705,28.81953411,17.20417175,14.15173192,18.05645819,23.17016373,20.24222856,14.2210965,
United Arab Emirates,ARE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,41.5872141,40.78198072,35.12908564,34.36005264,60.40580401,46.91589456,31.56263315,22.41504044,23.24867327,23.37847758,24.30748436,16.5233854,24.19530502,20.45956778,29.64359809,36.70714731,24.90645016,23.46883703,20.7484474,17.98657568,17.9941818,20.54448993,17.79656879,11.84312263,14.67794107,21.96447566,17.24901371,15.46396125,17.92118976,20.84025612,25.81833286,26.16951067,23.96683468,28.442825,19.18879744,22.58570265,30.02433099,29.78977448,27.10489338,24.24279057,14.04403293,11.31765671,13.5579349,17.27578918,16.8657794,11.9439362,
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.398352653,0.530171436,0.593697902,0.63838682,1.90166338,2.437919694,2.709226303,2.302726608,2.53516266,5.49165977,6.384817242,5.289086627,3.164010471,3.381450888,4.142453744,3.440468998,1.302186122,1.880157925,1.54390076,3.637411456,2.593125853,1.185237181,1.164312345,1.166366731,1.051490719,1.271290624,1.631056084,1.440125929,0.821633522,1.361017899,2.284700695,1.924530043,5.815337411,5.118339455,4.950483499,5.7512162,6.117752662,4.963762906,5.00758015,3.034240956,3.323358046,3.715547515,3.413361118,3.01544202,2.745268851,1.087435672,0.936269076,1.12360659,2.101276936,2.191602821,1.828568663,
