"Year","Code","HDI","Arms.Imports","Arms.Exports","Imports","Exports","FDI","Fin.Diplomacy","IGO.Alignment","UN.Agreement","Polity","GDP","Resources"
"2000","AFG",0.335,NA,0,5395751,19891090,NA,5e+05,0.380281690140845,0.954545454545455,-7,3342034168.1008,NA
"2000","AFG",0.335,NA,0,5395751,19891090,NA,5e+05,0.380281690140845,0.954545454545455,-7,3342034168.1008,NA
"2001","AFG",0.337,NA,0,161597,17265197,NA,1120814.54390561,0.380281690140845,0.902173913043478,NA,3598470575.62394,NA
"2001","AFG",0.337,NA,0,161597,17265197,NA,1120814.54390561,0.380281690140845,0.902173913043478,NA,3598470575.62394,NA
"2002","AFG",0.362,NA,0,79936,19910993,NA,7195107.08591415,0.380281690140845,0.911764705882353,NA,4141523942.74591,1.024958464
"2002","AFG",0.362,NA,0,79936,19910993,NA,7195107.08591415,0.380281690140845,0.911764705882353,NA,4141523942.74591,1.024958464
"2003","AFG",0.376,NA,0,612288,26446713,NA,7091630.5690672,0.380281690140845,0.948529411764706,NA,4729042179.16885,0.710719564
"2003","AFG",0.376,NA,0,612288,26446713,NA,7091630.5690672,0.380281690140845,0.948529411764706,NA,4729042179.16885,0.710719564
"2004","AFG",0.392,NA,0,947329,56973084,NA,32088975.1453655,0.380281690140845,0.946969696969697,NA,5388482107.45828,0.440392701
"2004","AFG",0.392,NA,0,947329,56973084,NA,32088975.1453655,0.380281690140845,0.946969696969697,NA,5388482107.45828,0.440392701
"2005","AFG",0.4,NA,0,1511677,51208556,0,2.6e+07,0.408450704225352,0.949367088607595,NA,6220574147.12788,0.382005712
"2005","AFG",0.4,NA,0,1511677,51208556,0,2.6e+07,0.408450704225352,0.949367088607595,NA,6220574147.12788,0.382005712
"2006","AFG",0.409,NA,0,185744,100486966,0,13114650.3022546,0.422535211267606,0.916666666666667,NA,7104711444.63957,0.502551364
"2006","AFG",0.409,NA,0,185744,100486966,0,13114650.3022546,0.422535211267606,0.916666666666667,NA,7104711444.63957,0.502551364
"2007","AFG",0.424,NA,0,2376291,169532599,2.87e+09,14022713.1996176,0.422535211267606,0.943820224719101,NA,9412161764.60404,0.449303643
"2007","AFG",0.424,NA,0,2376291,169532599,2.87e+09,14022713.1996176,0.422535211267606,0.943820224719101,NA,9412161764.60404,0.449303643
"2008","AFG",0.43,NA,0,2693017,151626761,0,22393943.8587717,0.422535211267606,0.927777777777778,NA,10236901594.3276,0.610294178
"2008","AFG",0.43,NA,0,2693017,151626761,0,22393943.8587717,0.422535211267606,0.927777777777778,NA,10236901594.3276,0.610294178
"2009","AFG",0.44,NA,0,1375868,213366201,0,6678918.51156495,0.422535211267606,0.947368421052632,NA,11595133469.4287,0.41727744
"2009","AFG",0.44,NA,0,1375868,213366201,0,6678918.51156495,0.422535211267606,0.947368421052632,NA,11595133469.4287,0.41727744
"2010","AFG",0.448,NA,0,3680419,175264609,0,20975130.7076065,0.436619718309859,0.958333333333333,NA,14698889678.3668,0.61264487
"2010","AFG",0.448,NA,0,3680419,175264609,0,20975130.7076065,0.436619718309859,0.958333333333333,NA,14698889678.3668,0.61264487
"2011","AFG",0.456,NA,0,4403087,230009966,4e+08,16081257.9307464,0.436619718309859,0.907608695652174,NA,17350694945.4134,0.877758007
"2011","AFG",0.456,NA,0,4403087,230009966,4e+08,16081257.9307464,0.436619718309859,0.907608695652174,NA,17350694945.4134,0.877758007
"2012","AFG",0.466,NA,0,5186565,464033546,0,681606.099864054,0.450704225352113,0.911764705882353,NA,19136499340.788,0.706844302
"2012","AFG",0.466,NA,0,5186565,464033546,0,681606.099864054,0.450704225352113,0.911764705882353,NA,19136499340.788,0.706844302
"2013","AFG",0.474,NA,0,9595295,328258809,0,0,0.450704225352113,0.941666666666667,NA,19621802455.4196,0.558013471
"2013","AFG",0.474,NA,0,9595295,328258809,0,0,0.450704225352113,0.941666666666667,NA,19621802455.4196,0.558013471
"2014","AFG",0.479,NA,0,17371806,393559251,0,2664686.63465397,0.436619718309859,0.934210526315789,-1,19550702566.7147,0.54446518
"2014","AFG",0.479,NA,0,17371806,393559251,0,2664686.63465397,0.436619718309859,0.934210526315789,-1,19550702566.7147,0.54446518
"2015","AFG",0.478,NA,0,11770644,361819889,0,29223155.4955547,NA,0.86231884057971,-1,18713048410.1933,0.514492083
"2015","AFG",0.478,NA,0,11770644,361819889,0,29223155.4955547,NA,0.86231884057971,-1,18713048410.1933,0.514492083
"2016","AFG",0.481,NA,0,4534101,430653261,0,44649666.5881716,NA,0.864077669902913,-1,18019558182.2172,0.627717585
"2016","AFG",0.481,NA,0,4534101,430653261,0,44649666.5881716,NA,0.864077669902913,-1,18019558182.2172,0.627717585
"2017","AFG",0.482,NA,1,3427619,541205985,2.1e+08,88572699.2631022,NA,0.774336283185841,-1,18896352021.4757,0.71933894
"2017","AFG",0.482,NA,0,3427619,541205985,2.1e+08,88572699.2631022,NA,0.774336283185841,-1,18896352021.4757,0.71933894
"2018","AFG",0.483,NA,0,24079054,667589880,0,NA,NA,0.8875,-1,18418848299.9422,0.891281199
"2018","AFG",0.483,NA,0,24079054,667589880,0,NA,NA,0.8875,-1,18418848299.9422,0.891281199
"2019","AFG",0.488,NA,0,29279265,599799484,0,NA,NA,0.880952380952381,NA,18904490263.1099,0.692528088
"2019","AFG",0.488,NA,0,29279265,599799484,0,NA,NA,0.880952380952381,NA,18904490263.1099,0.692528088
"2020","AFG",0.483,NA,0,54512300,500680466,0,NA,NA,0.873563218390805,NA,19793262412.555,0.653621703
"2020","AFG",0.483,NA,0,54512300,500680466,0,NA,NA,0.873563218390805,NA,19793262412.555,0.653621703
"2021","AFG",0.478,NA,0,NA,NA,0,NA,NA,0.878787878787879,NA,NA,NA
"2021","AFG",0.478,NA,0,NA,NA,0,NA,NA,0.878787878787879,NA,NA,NA
"2000","ALB",0.677,NA,0,1808,14319862,NA,1200000,0.450704225352113,0.558139534883721,5,3487586302.02033,1.098001422
"2001","ALB",0.684,NA,0,1467,16113459,NA,39615310,0.450704225352113,0.613207547169811,5,3926887596.51718,0.756032683
"2002","ALB",0.689,NA,0,85053,18685900,NA,0,0.464788732394366,0.608695652173913,7,4355865888.71302,0.760866015
"2003","ALB",0.696,NA,0,57918,32194331,NA,650000,0.47887323943662,0.656976744186046,7,5561459460.63313,0.733223813
"2004","ALB",0.7,NA,0,5957247,63247738,NA,3012267.16401502,0.492957746478873,0.61038961038961,7,7177030364.86203,0.770895917
"2005","ALB",0.711,NA,0,7042678,83209654,NA,1234254.87312643,0.507042253521127,0.602409638554217,9,8052079314.495,1.018512733
"2006","ALB",0.718,NA,0,12841603,66055212,NA,0,0.507042253521127,0.680555555555556,9,8896076004.05088,1.32188534
"2007","ALB",0.73,NA,0,66341169,89979474,NA,0,0.52112676056338,0.685897435897436,9,10677322220.2843,1.761107619
"2008","ALB",0.736,NA,0,88259172,196105777,NA,0,0.535211267605634,0.666666666666667,9,12881352058.1735,1.110083362
"2009","ALB",0.741,NA,0,64319826,207861575,NA,0,0.535211267605634,0.710843373493976,9,12044210390.1228,0.606046436
"2010","ALB",0.754,NA,0,147572616,199277724,NA,1020000,0.535211267605634,0.706896551724138,9,11926948284.4373,1.574519863
"2011","ALB",0.766,NA,0,155367791,281482764,NA,1546896.02186253,0.549295774647887,0.655913978494624,9,12890873322.9257,3.178913765
"2012","ALB",0.778,NA,0,142720886,343904583,NA,79256.5232400064,0.549295774647887,0.691860465116279,9,12319779604.2613,3.377231807
"2013","ALB",0.785,NA,0,234840915,324596499,NA,0,0.563380281690141,0.642857142857143,9,12776280737.7422,2.947423285
"2014","ALB",0.792,NA,0,189322397,378269750,NA,0,0.535211267605634,0.657894736842105,9,13228240078.8447,3.075894748
"2015","ALB",0.795,NA,0,127861359,430190806,NA,1590999.09369166,NA,0.647887323943662,9,11386924852.7363,1.621849096
"2016","ALB",0.798,NA,0,128596467,506540419,NA,1650479.61761055,NA,0.626086956521739,9,11861356451.1651,1.333143971
"2017","ALB",0.802,NA,0,196222142,454033529,NA,5154237.11993576,NA,0.669421487603306,9,13019729855.6839,1.435785978
"2018","ALB",0.806,NA,0,108035667,539905479,NA,NA,NA,0.646739130434783,9,15156439967.8548,1.868235884
"2019","ALB",0.81,NA,0,102720650,601093182,NA,NA,NA,0.613636363636364,NA,15400237155.1392,1.779665217
"2020","ALB",0.794,NA,0,81120571,571223967,NA,NA,NA,0.643617021276596,NA,14909619335.122,1.253771732
"2021","ALB",0.796,NA,0,NA,NA,NA,NA,NA,0.61038961038961,NA,NA,NA
"2000","DZA",0.649,NA,10,25937941,172916756,NA,0,0.619718309859155,0.960526315789474,-3,54666896856.615,24.40093882
"2001","DZA",0.655,NA,11,69988286,222226410,NA,0,0.633802816901408,0.951219512195122,-3,55056733057.304,21.86244837
"2002","DZA",0.664,NA,14,81897046,351904803,NA,0,0.633802816901408,0.923469387755102,-3,56819210890.9552,21.87527675
"2003","DZA",0.67,NA,0,99216863,645937433,NA,20604076.422668,0.633802816901408,0.945054945054945,-3,67863851626.0261,23.43917879
"2004","DZA",0.678,NA,0,259077512,980519345,NA,31208178.1093433,0.633802816901408,0.952380952380952,2,85332517816.5892,25.06484397
"2005","DZA",0.685,NA,0,363732733,1404420063,6e+08,0,0.633802816901408,0.924242424242424,2,103198216067.335,32.49086612
"2006","DZA",0.69,NA,61,143121609,1947514487,6.51e+09,0,0.633802816901408,0.929906542056075,2,117027277939.303,34.40823485
"2007","DZA",0.697,NA,0,1160931952,2741975093,0,513147.141499522,0.633802816901408,0.96195652173913,2,134977088396.419,32.41196439
"2008","DZA",0.705,NA,0,849219211,3751909956,9.2e+08,0,0.633802816901408,0.885869565217391,2,171000692134.748,34.2389622
"2009","DZA",0.714,NA,0,946619790,4180239032,3.01e+09,1389191.80988076,0.633802816901408,0.928571428571429,2,137211008420.809,24.55612665
"2010","DZA",0.721,NA,18,1177317334,3999998875,0,47273707.2362646,0.633802816901408,0.947674418604651,2,161207306304.794,26.25510174
"2011","DZA",0.727,NA,0,1960886720,4471882142,1.65e+09,0,0.633802816901408,0.898936170212766,2,200019103012.998,31.04806446
"2012","DZA",0.729,NA,0,2311905609,5416657169,2.87e+09,0,0.633802816901408,0.923529411764706,2,209059083117.985,29.98557346
"2013","DZA",0.731,NA,0,2164546739,6023897368,2.35e+09,0,0.661971830985915,0.9453125,2,209755003250.664,27.73419358
"2014","DZA",0.735,NA,158,1314681787,7395177834,2.26e+09,0,0.633802816901408,0.935064935064935,2,213809979479.769,24.12672742
"2015","DZA",0.74,NA,245,767362894,7583347042,4.1e+08,0,NA,0.888888888888889,2,165979118790.54,15.87714704
"2016","DZA",0.743,NA,499,331886154,7647851142,3.35e+09,17461072.806402,NA,0.858974358974359,2,160034211699.72,11.99777359
"2017","DZA",0.744,NA,21,448323792,6784746250,0,29596978.9746759,NA,0.80672268907563,2,170096984537.232,14.28829108
"2018","DZA",0.745,NA,57,1177700854,7926453796,1.3e+08,NA,NA,0.887096774193548,2,175415180410.906,18.48172445
"2019","DZA",0.748,NA,24,1141251265,6941782829,5.6e+08,NA,NA,0.882022471910112,NA,171158234285.293,16.34204454
"2020","DZA",0.736,NA,3,997055550,5596322062,1.2e+08,NA,NA,0.861702127659574,NA,147688693830.417,11.92571914
"2021","DZA",0.745,NA,0,NA,NA,0,NA,NA,0.876623376623377,NA,NA,NA
"2000","AND",0.818,NA,NA,3497,377151,NA,NA,NA,NA,NA,1429044661.99507,0
"2001","AND",0.825,NA,NA,NA,173264,NA,NA,NA,NA,NA,1546913266.99537,0
"2002","AND",0.832,NA,NA,12603,274538,NA,NA,NA,NA,NA,1755992895.71801,0
"2003","AND",0.841,NA,NA,8,867617,NA,NA,NA,NA,NA,2361635625.03703,0
"2004","AND",0.833,NA,NA,3714,2112886,NA,NA,NA,NA,NA,2895042251.64987,0
"2005","AND",0.833,NA,NA,9046,3230910,NA,NA,NA,NA,NA,3159831266.47764,0
"2006","AND",0.848,NA,NA,403,884312,NA,NA,NA,NA,NA,3456261316.43405,0
"2007","AND",0.847,NA,NA,6835,710117,NA,NA,NA,NA,NA,3952395237.03615,0
"2008","AND",0.85,NA,NA,45229,1167665,NA,NA,NA,NA,NA,4085783662.52083,0
"2009","AND",0.848,NA,NA,182653,2497392,NA,NA,NA,NA,NA,3674186276.8418,0
"2010","AND",0.848,NA,NA,34251,3372036,NA,NA,NA,NA,NA,3446565601.34851,0
"2011","AND",0.849,NA,NA,148323,5618994,NA,NA,NA,NA,NA,3624386229.08366,0
"2012","AND",0.869,NA,NA,324002,26845645,NA,NA,NA,NA,NA,3188830334.07271,0
"2013","AND",0.864,NA,NA,14788,2244495,NA,NA,NA,NA,NA,3192603085.71476,0
"2014","AND",0.871,NA,NA,30877,2203821,NA,NA,NA,NA,NA,3267334445.88627,0
"2015","AND",0.867,NA,NA,10670,1284622,NA,NA,NA,NA,NA,2788757748.74224,0
"2016","AND",0.871,NA,NA,108121,1279466,NA,NA,NA,NA,NA,2894646183.64221,0
"2017","AND",0.868,NA,NA,103064,1270964,NA,NA,NA,NA,NA,3000160225.15736,0
"2018","AND",0.872,NA,NA,144993,1866569,NA,NA,NA,NA,NA,3218419456.4373,0
"2019","AND",0.873,NA,NA,210011,2553569,NA,NA,NA,NA,NA,3155149347.92156,0
"2020","AND",0.848,NA,NA,432094,3400568,NA,NA,NA,NA,NA,2864399402.02335,NA
"2021","AND",0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000","AGO",0.375,NA,0,1842692967,33735509,NA,0,0.436619718309859,0.864406779661017,-6,12207354573.0282,55.47635659
"2000","AGO",0.375,NA,0,1842692967,33735509,NA,0,0.436619718309859,0.864406779661017,-6,12207354573.0282,55.47635659
