region,country,location_of_space,name_of_space,status,host_institution_name,year_opened,year_closed
SCA,Afghanistan,Kabul,Confucius Institute at Kabul University,Active,Kabul University,2008,NA
EUR,Albania,Tirana,Confucius Institute at University of Tirana,Active,University of Tirana,2013,NA
AF,Angola,Luanda,Confucius Institute at Agostinho Neto University,Active,Agostinho Neto University,2014,NA
WHA,Antigua and Barbuda,St. John’s,Confucius Institute at Antigua and Barbuda Institute of Continuing Education,Active,Antigua and Barbuda Institute of Continuing Education,2019,NA
WHA,Argentina,La Plata,Confucius Institute at La Plata National University,Active,La Plata National University,2009,NA
WHA,Argentina,Buenos Aires,Confucius Institute at University of Buenos Aires,Active,University of Buenos Aires,2009,NA
WHA,Argentina,Cordoba,Confucius Institute at National University of Cordoba,Active,National University of Cordoba,2020,NA
EUR,Armenia,Yerevan,Confucius Institute at Brusov State University,Active,Yerevan Brusov State University of Languages and Social Sciences,2009,NA
EAP,Australia,Perth,Confucius Institute at University of Western Australia,Active,University of Western Australia,2005,NA
EAP,Australia,Adelaide,Confucius Institute at University of Adelaide,Active,University of Adelaide,2007,NA
EAP,Australia,Sydney,Confucius Institute at University of New South Wales,Active,University of New South Wales,2007,NA
EAP,Australia,Brisbane,Confucius Institute at University of Queensland,Active,University of Queensland,2007,NA
EAP,Australia,Brisbane,Confucius Institute at Queensland University of Technology,Active,Queensland University of Technology,2008,NA
EAP,Australia,Melbourne,Confucius Institute at Royal Melbourne Institute of Technology,Closed,Royal Melbourne Institute of Technology,2008,2021
EAP,Australia,Newcastle,Confucius Institute at University of Newcastle,Active,University of Newcastle,2008,NA
EAP,Australia,Sydney,Confucius Institute at University of Sydney,Active,University of Sydney,2008,NA
EAP,Australia,Melbourne,Confucius Institute at University of Melbourne,Active,University of Melbourne,2009,NA
EAP,Australia,Melbourne,Confucius Institute at La Trobe University,Active,La Trobe University,2011,NA
EAP,Australia,Darwin,Confucius Institute at Charles Darwin University,Active,Charles Darwin University,2012,NA
EAP,Australia,Gold Coast,Confucius Institute at Griffith University,Active,Griffith University,2012,NA
EAP,Australia,Sydney,Confucius Institute at Department of Education and Communities State of New South Wales,Closed,Department of Education and Communities State of New South Wales,2015,2019
EAP,Australia,Melbourne,Confucius Institute at Victoria University,Active,Victoria University,2016,NA
EUR,Austria,Vienna,Confucius Institute at University of Vienna,Active,University of Vienna,2006,NA
EUR,Austria,Graz,Confucius Institute at University of Graz,Active,University of Graz,2010,NA
EUR,Azerbaijan,Baku,Confucius Institute at Baku State University,Active,Baku State University,2011,NA
EUR,Azerbaijan,Baku,Confucius Institute at Azerbaijan University of Languages,Active,Azerbaijan University of Languages,2016,NA
WHA,Bahamas,Nassau,Confucius Institute at Bahamas Institute,Active,Bahamas Institute,2009,NA
NEA,Bahrain,Manama,Confucius Institute at University of Bahrain,Active,University of Bahrain,2014,NA
SCA,Bangladesh,Dhaka,Confucius Institute at North South University,Active,North South University,2006,NA
