"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Africa Eastern and Southern","AFE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","3.64189848579735","2.24173040434647","2.06026220380608","3.40117353326262","4.02573514507049","1.50235475317496","1.72920376456198","1.43955729516308","0.971003925948014","3.30370863042972","7.0683362298692","3.99243746960519","2.79719511492204","3.55536344931138","0.889191522343716","2.55896354400152","2.20579037594268","2.59094097601968","3.29524383934579","2.59611977609835","1.61270748098038","1.49064625804668","1.26169592875024","1.27928403523807","1.49811316374022","0.555371459684746","0.927038209688341","0.585888069167073","0.41847960517207","0.306990534204609","0.484378672968027","0.513858021281937","0.616492661875008","0.233865938400248","0.410861363860805","0.70972550669912","1.33666143673875","1.53672476014407","1.58610010339474","1.0067613702698","1.75943342515973","2.07485710920329","1.68777447108253","1.61425672666273","1.16567774497361","0.605458277193354","0.915661365732214","1.15905407482838","0.993204850477426","1.1446963777981","1.21301707691573","",
"Afghanistan","AFG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.00236430821462354","0.00300232580061398","0.00207862316540158","0.00279743367833855","0","0","0","0","",
"Africa Western and Central","AFW","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.209126708582878","0.233306287858505","0.22248532381383","0.233165589072031","0.637010389037677","0.453125220096075","0.293330211689324","0.506691304861306","0.18803679228526","0.234410048196952","0.288571448793274","0.125354482735042","0.117702340424183","0.142735831786692","0.161253384725084","0.166059759654735","0.47196538745669","0.407652072398975","0.442307413199552","0.579492756814843","0.474068742584109","0.530756115988282","0.454144623082786","0.495544871075799","0.620365092004532","0.260889498430412","0.330764837288691","0.297489839595582","0.278695499002671","0.21045111986994","0.25904280273778","0.276733722891842","0.278571340363322","0.123778286746887","0.156836714722492","0.278779101331687","0.418397527424375","0.551019986406051","0.569184118512421","0.610469072391184","0.776554768990126","1.06813427403781","0.945470103833085","0.680610739489404","0.537692113955805","0.392987876537426","0.580919527198885","0.658131792091268","0.587448247798718","0.470795446360483","0.601262369047575","",
"Angola","AGO","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Albania","ALB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.604964557441727","0.692259344343204","0.440841190981462","0.67423879239664","3.64766860240634","3.65113125208662","1.48916309567935","2.32270804661255","0.431830628064928","0.146794463403927","0.0450273115750504","0.0371836556150219","0.0374604683658605","0.00860043303652324","0.0183314952139592","0.00567240203341076","0","0","0","0","0.00996934027850245","0.0251232422083578","0.121229707313873","0.834611352769281","0.0787066226831029","0.0418367002788161","0.142023694481995","0.218928064043579","0.165774443616505","0.111634515955918","0.105381258368331","0.0657948465106751","0.00269413280082088","0","0.0408688266977042","0.0363923070711174","0.040452926925788","",
"Andorra","AND","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Arab World","ARB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.175103034115816","0.137199605880617","0.113674053775117","0.16296491892887","0.931453086710201","0.70880388546068","0.258887977747572","0.521536301580957","0.104108075309971","0.117427273957833","0.124304324251199","0.144095268923916","0.126932783465751","0.117330351564527","0.0808760580120337","0.109552763982924","0.0648825812961567","0.0337176777845663","0.176468329785235","0.0510378146091027","0.0345533900196811","0.0181624921422194","0.0248399535362977","0.0207230804503862","0.0311283575344747","0.0251946272969016","0.0200351292160064","0.0160309673989525","0.0193510185758905","0.0118415928311566","0.0110056482353358","0.0125055030464998","0.0134433271001465","0.00576202783750896","0.042576195376566","0.0730063298690938","0.0921955448790631","0.153143166506474","0.528801243910489","0.423549936340129","0.381422964894705","0.517174624758834","0.455152540228866","0.322794993859275","0.257853433453338","0.215614683712445","0.286966641035077","0.325660994536264","0.195065332183312","0.0602823163441056","0.0862571134841057","",
"United Arab Emirates","ARE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Argentina","ARG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.0256683352034899","0.0171747749447794","0.0259318087569674","0.0558110074993531","0.0667695801871732","0.0299988854708558","0.0389514934949596","0.0431008315613284","0.0311657519729079","0.0592260663254491","0.0659179105457609","0.0302226498666427","0.0189869916691021","0.0221735901013079","0.0280564672550294","0.0225924358048992","0.0110402165813084","0.0121509020788453","0.187933736413889","0.296510962884838","0.0602600744920456","0.0128485520637548","0.00825222972235911","0.00284028268247914","0.00488228677765953","0.00619964211322981","0.00552049496179898","0.00453579247534881","0.0142538669444174","0.0222146102877926","0.00202181808737947","0.00111785725562351","0.199715933166906","0.189171967242329","0.226044885716785","0.208360822790062","0.549753245470041","0.430449635100407","0.308075257202643","0.298981723323076","0.522297944421693","0.516586876306161","0.431927721271512","0.230456676952533","0.23801641228152","0.0765457415257575","0.145419703916288","0.102949469765822","0.184555055632401","0.18299614131206","0.262536724043925","",
