"","name_long","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Total_Exports"
"1","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"2","Albania",0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"3","Algeria",80,0,0,0,5,0,0,0,0,10,11,14,0,0,0,61,0,0,0,18,0,0,0,158,245,499,21,57,24,3,0,1206
"4","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,15,42,0,73
"5","Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"6","Armenia",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"7","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"8","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
"10","Bangladesh",61,87,5,20,9,7,0,0,33,11,2,0,0,7,1,184,67,9,0,13,81,149,485,201,450,262,205,92,637,27,15,3120
"11","Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4
"12","Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Bolivia",0,12,3,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,21,0,0,20,0,4,0,1,0,0,0,68
"14","Bosnia-Herzegovina",0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"15","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
"17","Cambodia",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,56,0,4,0,0,15,39,0,0,0,0,2,1,0,0,121
"18","Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,118,85,0,0,0,0,0,0,0,212
"19","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"20","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,16,0,0,39,0,0,0,0,0,0,0,3,64
"21","Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"22","Cote d'Ivoire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"23","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,0,0,0,24,37
"24","DR Congo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"25","Ecuador",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12
"26","Egypt",28,28,36,28,28,0,0,0,0,0,18,67,88,88,21,0,35,35,35,35,0,1,1,1,0,10,18,18,0,0,0,619
"27","Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34
"28","Eritrea",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"29","Ethiopia",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,50,2,0,0,0,2,2,24,0,101
"30","FNLA (Angola)*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Gabon",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,31
"32","Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Ghana",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,14,0,11,2,56,0,22,0,13,8,0,0,0,0,0,129
"34","Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"35","Guinea-Bissau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Guyana",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"37","Indonesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,2,8,64,73,34,38,40,34,16,14,17,2,358
"38","Iran",96,103,304,269,54,318,52,68,62,67,78,79,82,78,41,52,45,45,45,60,50,29,9,9,9,0,0,0,0,0,0,2104
"39","Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,0,106
"40","Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,1,0,24,0,0,0,0,0,35
"41","Kazakhstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0,0,0,36
"42","Kenya",0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,10,0,0,13,0,0,0,7,10,11,0,0,0,0,0,75
"43","Khmer Rouge (Cambodia)*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Kuwait",0,0,0,0,0,0,0,0,0,35,17,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
"45","Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"46","Laos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,15,15,0,1,0,2,51,9,0,0,100
"47","Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Malaysia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,26,0,52,83
"49","Mali",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,13
"50","Mauritania",0,0,0,0,2,2,8,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,25,0,0,95
"51","Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"52","Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,34,34,0,0,0,0,120,75,0,0,0,478
"53","Mozambique",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,6
"54","Mujahedin (Afghanistan)*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Myanmar",182,13,323,93,176,118,197,156,116,3,50,9,57,74,23,10,4,13,19,5,277,251,189,63,180,215,119,94,47,0,50,3126
"56","Namibia",0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,66,0,22,5,0,0,52,9,0,0,3,34,0,0,0,0,209
"57","Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,1,0,14,0,0,25
"58","Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4
"60","Nigeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,58,23,36,0,0,0,49,90,412
"61","North Korea",145,11,55,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266
"62","Oman",0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"63","Pakistan",283,183,669,319,234,114,90,91,72,69,298,286,267,76,77,95,142,247,752,749,594,594,727,467,548,718,683,499,455,541,753,11692
"64","Papua New Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
