"","product_group","year","exports"
"1","All Products","1992",828331.147
"2","All Products","1993",1087936.797
"3","All Products","1994",1195707.379
"4","All Products","1995",1769572.212
"5","All Products","1996",1870654.814
"6","All Products","1997",2318808.043
"7","All Products","1998",2989724.208
"8","All Products","1999",2751879.014
"9","All Products","2000",3548056.935
"10","All Products","2001",4371265.767
"11","All Products","2002",4956977.089
"12","All Products","2003",7422037.437
"13","All Products","2004",9845445.617
"14","All Products","2005",13291110.373
"15","All Products","2006",18875998.551
"16","All Products","2007",26452699.892
"17","All Products","2008",36526228.906
"18","All Products","2009",33211759.262
"19","All Products","2010",43783736.29
"20","All Products","2011",55781472.545
"21","All Products","2012",61507680.354
"22","All Products","2013",67402464.396
"23","All Products","2014",78585351.579
"24","All Products","2015",78372240.199
"25","All Products","2016",64069550.846
"26","All Products","2017",68306364.726
"27","All Products","2018",74501362.485
"28","All Products","2019",81506170.226
"29","All Products","2020",82446728.921
"30","Capital goods","1992",180341.14
"31","Capital goods","1993",112704.191
"32","Capital goods","1994",180284.733
"33","Capital goods","1995",231904.677999999
"34","Capital goods","1996",407549.992
"35","Capital goods","1997",546553.274000001
"36","Capital goods","1998",673280.520999999
"37","Capital goods","1999",583807.637000001
"38","Capital goods","2000",777816.239999999
"39","Capital goods","2001",1028229.835
"40","Capital goods","2002",1277246.82
"41","Capital goods","2003",1997206.04
"42","Capital goods","2004",2705162.479
"43","Capital goods","2005",4178867.44399999
"44","Capital goods","2006",6308305.89900003
"45","Capital goods","2007",9160325.44900002
"46","Capital goods","2008",14200801.508
"47","Capital goods","2009",12898021.296
"48","Capital goods","2010",17660839.6039999
"49","Capital goods","2011",20851026.2180002
"50","Capital goods","2012",20242056.4880001
"51","Capital goods","2013",22071117.4440001
"52","Capital goods","2014",23504684.251
"53","Capital goods","2015",23266910.171
"54","Capital goods","2016",18932165.7280001
"55","Capital goods","2017",20251133.066
"56","Capital goods","2018",21649071.3759999
"57","Capital goods","2019",24870949.139
"58","Capital goods","2020",23577805.804
"59","Consumer goods","1992",326238.774
"60","Consumer goods","1993",567057.374000001
"61","Consumer goods","1994",590372.092999998
"62","Consumer goods","1995",946398.085999999
"63","Consumer goods","1996",946519.818999999
"64","Consumer goods","1997",1114097.27
"65","Consumer goods","1998",1362716.808
"66","Consumer goods","1999",1364680.702
"67","Consumer goods","2000",1699337.31600001
"68","Consumer goods","2001",1896839.948
"69","Consumer goods","2002",2057459.705
"70","Consumer goods","2003",3021547.23600001
"71","Consumer goods","2004",3915938.49299999
"72","Consumer goods","2005",4985039.634
"73","Consumer goods","2006",7004028.44599996
"74","Consumer goods","2007",9760444.49999992
"75","Consumer goods","2008",11532207.3190001
"76","Consumer goods","2009",11513133.021
"77","Consumer goods","2010",15473421.8910001
"78","Consumer goods","2011",20417425.9869999
"79","Consumer goods","2012",25958414.4210001
"80","Consumer goods","2013",27845379.2800001
"81","Consumer goods","2014",35502816.2960001
"82","Consumer goods","2015",35977984.9370001
"83","Consumer goods","2016",29278096.1600001
"84","Consumer goods","2017",30491896.59
"85","Consumer goods","2018",32474409.6210001
"86","Consumer goods","2019",35222819.0019998
"87","Consumer goods","2020",36995851.7540001
"88","Intermediate goods","1992",215643.534
"89","Intermediate goods","1993",384944.917999999
"90","Intermediate goods","1994",401428.734999999
"91","Intermediate goods","1995",553389.066999999
"92","Intermediate goods","1996",481011.339
"93","Intermediate goods","1997",620582.228999999
"94","Intermediate goods","1998",921431.8
"95","Intermediate goods","1999",754813.818999999
"96","Intermediate goods","2000",1012774.5
"97","Intermediate goods","2001",1378000.738
"98","Intermediate goods","2002",1481199.426
"99","Intermediate goods","2003",2266463.511
"100","Intermediate goods","2004",3014223.79300001
"101","Intermediate goods","2005",3840583.36600003
"102","Intermediate goods","2006",5242077.053
"103","Intermediate goods","2007",7228679.90199998
"104","Intermediate goods","2008",10626817.619
"105","Intermediate goods","2009",8621845.074
"106","Intermediate goods","2010",10356607.314
"107","Intermediate goods","2011",14056566.382
"108","Intermediate goods","2012",14896768.906
"109","Intermediate goods","2013",17000807.3000001
"110","Intermediate goods","2014",19023246.3899999
"111","Intermediate goods","2015",18510041.6269998
"112","Intermediate goods","2016",15271725.518
"113","Intermediate goods","2017",16960134.1430001
"114","Intermediate goods","2018",19726718.6630001
"115","Intermediate goods","2019",20709611.2520001
"116","Intermediate goods","2020",21212572.7899999
"117","Raw materials","1992",13162.084
"118","Raw materials","1993",20573.909
"119","Raw materials","1994",13149.619
"120","Raw materials","1995",28538.457
"121","Raw materials","1996",22572.065
"122","Raw materials","1997",23857.691
"123","Raw materials","1998",28263.882
"124","Raw materials","1999",31405.585
"125","Raw materials","2000",46770.071
"126","Raw materials","2001",39402.196
"127","Raw materials","2002",69370.467
"128","Raw materials","2003",96454.587
"129","Raw materials","2004",76602.357
"130","Raw materials","2005",79309.36
"131","Raw materials","2006",91936.196
"132","Raw materials","2007",117226.157
"133","Raw materials","2008",155538.41
"134","Raw materials","2009",166623.008
"135","Raw materials","2010",277375.263
"136","Raw materials","2011",422804.426
"137","Raw materials","2012",410157.873
"138","Raw materials","2013",485047.116
"139","Raw materials","2014",553922.649999999
"140","Raw materials","2015",549021.15
"141","Raw materials","2016",511419.029000001
"142","Raw materials","2017",579922.846
"143","Raw materials","2018",628678.571000001
"144","Raw materials","2019",600169.816999999
"145","Raw materials","2020",606457.970999999
"146","Animal","1992",96.181
"147","Animal","1993",954.292
"148","Animal","1994",1346.413
"149","Animal","1995",8598.051
"150","Animal","1996",11231.811
"151","Animal","1997",11004.646
"152","Animal","1998",13051.817
"153","Animal","1999",16753.139
"154","Animal","2000",18450.114
