"","Product Group","year","exports"
"1","All Products","1992",84940013.568
"2","All Products","1993",91743944.704
"3","All Products","1994",121006260.224
"4","All Products","1995",148779499.52
"5","All Products","1996",151047454.72
"6","All Products","1997",182791585.792
"7","All Products","1998",183808983.04
"8","All Products","1999",194930778.542
"9","All Products","2000",249202551.015
"10","All Products","2001",266098208.59
"11","All Products","2002",325595969.765
"12","All Products","2003",438227767.355
"13","All Products","2004",593325581.43
"14","All Products","2005",761953409.531
"15","All Products","2006",968935601.013
"16","All Products","2007",1220059668.452
"17","All Products","2008",1430693066.08
"18","All Products","2009",1201646758.08
"19","All Products","2010",1577763750.888
"20","All Products","2011",1898388434.783
"21","All Products","2012",2048782233.084
"22","All Products","2013",2209007280.259
"23","All Products","2014",2342292696.32
"24","All Products","2015",2273468224.113
"25","All Products","2016",2097637171.895
"26","All Products","2017",2263370504.301
"27","All Products","2018",2486439719.803
"28","All Products","2019",2499206993.866
"29","All Products","2020",2589098353.298
