ccode2,country,un_continent,un_region,regime,year
2,United States,Americas,Northern America,Democracy,2000
2,United States,Americas,Northern America,Democracy,2001
2,United States,Americas,Northern America,Democracy,2002
2,United States,Americas,Northern America,Democracy,2003
2,United States,Americas,Northern America,Democracy,2004
2,United States,Americas,Northern America,Democracy,2005
2,United States,Americas,Northern America,Democracy,2006
2,United States,Americas,Northern America,Democracy,2007
2,United States,Americas,Northern America,Democracy,2008
2,United States,Americas,Northern America,Democracy,2009
2,United States,Americas,Northern America,Democracy,2010
2,United States,Americas,Northern America,Democracy,2011
2,United States,Americas,Northern America,Democracy,2012
20,Canada,Americas,Northern America,Democracy,2000
20,Canada,Americas,Northern America,Democracy,2001
20,Canada,Americas,Northern America,Democracy,2002
20,Canada,Americas,Northern America,Democracy,2003
20,Canada,Americas,Northern America,Democracy,2004
20,Canada,Americas,Northern America,Democracy,2005
20,Canada,Americas,Northern America,Democracy,2006
20,Canada,Americas,Northern America,Democracy,2007
20,Canada,Americas,Northern America,Democracy,2008
20,Canada,Americas,Northern America,Democracy,2009
20,Canada,Americas,Northern America,Democracy,2010
20,Canada,Americas,Northern America,Democracy,2011
20,Canada,Americas,Northern America,Democracy,2012
40,Cuba,Americas,Caribbean,Single Party,2000
40,Cuba,Americas,Caribbean,Single Party,2001
40,Cuba,Americas,Caribbean,Single Party,2002
40,Cuba,Americas,Caribbean,Single Party,2003
40,Cuba,Americas,Caribbean,Single Party,2004
40,Cuba,Americas,Caribbean,Single Party,2005
40,Cuba,Americas,Caribbean,Single Party,2006
40,Cuba,Americas,Caribbean,Single Party,2007
40,Cuba,Americas,Caribbean,Single Party,2008
40,Cuba,Americas,Caribbean,Single Party,2009
40,Cuba,Americas,Caribbean,Single Party,2010
40,Cuba,Americas,Caribbean,Single Party,2011
40,Cuba,Americas,Caribbean,Single Party,2012
41,Haiti,Americas,Caribbean,Multiparty,2000
41,Haiti,Americas,Caribbean,Multiparty,2001
41,Haiti,Americas,Caribbean,Multiparty,2002
41,Haiti,Americas,Caribbean,Multiparty,2003
41,Haiti,Americas,Caribbean,Multiparty,2004
41,Haiti,Americas,Caribbean,Multiparty,2005
41,Haiti,Americas,Caribbean,Multiparty,2006
41,Haiti,Americas,Caribbean,Multiparty,2007
41,Haiti,Americas,Caribbean,Multiparty,2008
41,Haiti,Americas,Caribbean,Multiparty,2009
41,Haiti,Americas,Caribbean,Multiparty,2010
41,Haiti,Americas,Caribbean,Multiparty,2011
41,Haiti,Americas,Caribbean,Multiparty,2012
42,Dominican Republic,Americas,Caribbean,Democracy,2000
42,Dominican Republic,Americas,Caribbean,Democracy,2001
42,Dominican Republic,Americas,Caribbean,Democracy,2002
42,Dominican Republic,Americas,Caribbean,Democracy,2003
42,Dominican Republic,Americas,Caribbean,Democracy,2004
42,Dominican Republic,Americas,Caribbean,Democracy,2005
42,Dominican Republic,Americas,Caribbean,Democracy,2006
42,Dominican Republic,Americas,Caribbean,Democracy,2007
42,Dominican Republic,Americas,Caribbean,Democracy,2008
42,Dominican Republic,Americas,Caribbean,Democracy,2009
42,Dominican Republic,Americas,Caribbean,Democracy,2010
42,Dominican Republic,Americas,Caribbean,Democracy,2011
42,Dominican Republic,Americas,Caribbean,Democracy,2012
51,Jamaica,Americas,Caribbean,Democracy,2000
51,Jamaica,Americas,Caribbean,Democracy,2001
51,Jamaica,Americas,Caribbean,Democracy,2002
51,Jamaica,Americas,Caribbean,Democracy,2003
51,Jamaica,Americas,Caribbean,Democracy,2004
51,Jamaica,Americas,Caribbean,Democracy,2005
51,Jamaica,Americas,Caribbean,Democracy,2006
51,Jamaica,Americas,Caribbean,Democracy,2007
51,Jamaica,Americas,Caribbean,Democracy,2008
51,Jamaica,Americas,Caribbean,Democracy,2009
51,Jamaica,Americas,Caribbean,Democracy,2010
51,Jamaica,Americas,Caribbean,Democracy,2011
51,Jamaica,Americas,Caribbean,Democracy,2012
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2000
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2001
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2002
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2003
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2004
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2005
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2006
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2007
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2008
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2009
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2010
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2011
52,Trinidad and Tobago,Americas,Caribbean,Democracy,2012
70,Mexico,Americas,Central America,Democracy,2000
70,Mexico,Americas,Central America,Democracy,2001
70,Mexico,Americas,Central America,Democracy,2002
70,Mexico,Americas,Central America,Democracy,2003
70,Mexico,Americas,Central America,Democracy,2004
70,Mexico,Americas,Central America,Democracy,2005
70,Mexico,Americas,Central America,Democracy,2006
70,Mexico,Americas,Central America,Democracy,2007
70,Mexico,Americas,Central America,Democracy,2008
70,Mexico,Americas,Central America,Democracy,2009
70,Mexico,Americas,Central America,Democracy,2010
70,Mexico,Americas,Central America,Democracy,2011
70,Mexico,Americas,Central America,Democracy,2012
90,Guatemala,Americas,Central America,Democracy,2000
90,Guatemala,Americas,Central America,Democracy,2001
90,Guatemala,Americas,Central America,Democracy,2002
90,Guatemala,Americas,Central America,Democracy,2003
90,Guatemala,Americas,Central America,Democracy,2004
90,Guatemala,Americas,Central America,Democracy,2005
90,Guatemala,Americas,Central America,Democracy,2006
90,Guatemala,Americas,Central America,Democracy,2007
90,Guatemala,Americas,Central America,Democracy,2008
90,Guatemala,Americas,Central America,Democracy,2009
90,Guatemala,Americas,Central America,Democracy,2010
90,Guatemala,Americas,Central America,Democracy,2011
90,Guatemala,Americas,Central America,Democracy,2012
91,Honduras,Americas,Central America,Democracy,2000
91,Honduras,Americas,Central America,Democracy,2001
91,Honduras,Americas,Central America,Democracy,2002
91,Honduras,Americas,Central America,Democracy,2003
91,Honduras,Americas,Central America,Democracy,2004
91,Honduras,Americas,Central America,Democracy,2005
91,Honduras,Americas,Central America,Democracy,2006
91,Honduras,Americas,Central America,Democracy,2007
91,Honduras,Americas,Central America,Democracy,2008
91,Honduras,Americas,Central America,Democracy,2009
91,Honduras,Americas,Central America,Democracy,2010
91,Honduras,Americas,Central America,Democracy,2011
91,Honduras,Americas,Central America,Democracy,2012
92,El Salvador,Americas,Central America,Democracy,2000
92,El Salvador,Americas,Central America,Democracy,2001
92,El Salvador,Americas,Central America,Democracy,2002
92,El Salvador,Americas,Central America,Democracy,2003
92,El Salvador,Americas,Central America,Democracy,2004
92,El Salvador,Americas,Central America,Democracy,2005
92,El Salvador,Americas,Central America,Democracy,2006
92,El Salvador,Americas,Central America,Democracy,2007
92,El Salvador,Americas,Central America,Democracy,2008
92,El Salvador,Americas,Central America,Democracy,2009
92,El Salvador,Americas,Central America,Democracy,2010
92,El Salvador,Americas,Central America,Democracy,2011
92,El Salvador,Americas,Central America,Democracy,2012
93,Nicaragua,Americas,Central America,Democracy,2000
93,Nicaragua,Americas,Central America,Democracy,2001
93,Nicaragua,Americas,Central America,Democracy,2002
93,Nicaragua,Americas,Central America,Democracy,2003
93,Nicaragua,Americas,Central America,Democracy,2004
93,Nicaragua,Americas,Central America,Democracy,2005
93,Nicaragua,Americas,Central America,Democracy,2006
93,Nicaragua,Americas,Central America,Democracy,2007
93,Nicaragua,Americas,Central America,Democracy,2008
93,Nicaragua,Americas,Central America,Democracy,2009
93,Nicaragua,Americas,Central America,Democracy,2010
93,Nicaragua,Americas,Central America,Democracy,2011
93,Nicaragua,Americas,Central America,Democracy,2012
94,Costa Rica,Americas,Central America,Democracy,2000
94,Costa Rica,Americas,Central America,Democracy,2001
94,Costa Rica,Americas,Central America,Democracy,2002
94,Costa Rica,Americas,Central America,Democracy,2003
94,Costa Rica,Americas,Central America,Democracy,2004
94,Costa Rica,Americas,Central America,Democracy,2005
94,Costa Rica,Americas,Central America,Democracy,2006
94,Costa Rica,Americas,Central America,Democracy,2007
94,Costa Rica,Americas,Central America,Democracy,2008
94,Costa Rica,Americas,Central America,Democracy,2009
94,Costa Rica,Americas,Central America,Democracy,2010
94,Costa Rica,Americas,Central America,Democracy,2011
94,Costa Rica,Americas,Central America,Democracy,2012
95,Panama,Americas,Central America,Democracy,2000
95,Panama,Americas,Central America,Democracy,2001
95,Panama,Americas,Central America,Democracy,2002
95,Panama,Americas,Central America,Democracy,2003
95,Panama,Americas,Central America,Democracy,2004
95,Panama,Americas,Central America,Democracy,2005
95,Panama,Americas,Central America,Democracy,2006
95,Panama,Americas,Central America,Democracy,2007
95,Panama,Americas,Central America,Democracy,2008
95,Panama,Americas,Central America,Democracy,2009
95,Panama,Americas,Central America,Democracy,2010
95,Panama,Americas,Central America,Democracy,2011
95,Panama,Americas,Central America,Democracy,2012
100,Colombia,Americas,South America,Democracy,2000
100,Colombia,Americas,South America,Democracy,2001
100,Colombia,Americas,South America,Democracy,2002
100,Colombia,Americas,South America,Democracy,2003
100,Colombia,Americas,South America,Democracy,2004
100,Colombia,Americas,South America,Democracy,2005
100,Colombia,Americas,South America,Democracy,2006
100,Colombia,Americas,South America,Democracy,2007
100,Colombia,Americas,South America,Democracy,2008
100,Colombia,Americas,South America,Democracy,2009
100,Colombia,Americas,South America,Democracy,2010
100,Colombia,Americas,South America,Democracy,2011
100,Colombia,Americas,South America,Democracy,2012
101,Venezuela,Americas,South America,Democracy,2000
101,Venezuela,Americas,South America,Democracy,2001
101,Venezuela,Americas,South America,Multiparty,2002
101,Venezuela,Americas,South America,Multiparty,2003
101,Venezuela,Americas,South America,Multiparty,2004
101,Venezuela,Americas,South America,Multiparty,2005
101,Venezuela,Americas,South America,Multiparty,2006
101,Venezuela,Americas,South America,Multiparty,2007
101,Venezuela,Americas,South America,Multiparty,2008
101,Venezuela,Americas,South America,Multiparty,2009
101,Venezuela,Americas,South America,Multiparty,2010
101,Venezuela,Americas,South America,Multiparty,2011
101,Venezuela,Americas,South America,Multiparty,2012
110,Guyana,Americas,South America,Democracy,2000
110,Guyana,Americas,South America,Democracy,2001
110,Guyana,Americas,South America,Democracy,2002
110,Guyana,Americas,South America,Democracy,2003
110,Guyana,Americas,South America,Democracy,2004
110,Guyana,Americas,South America,Democracy,2005
110,Guyana,Americas,South America,Democracy,2006
110,Guyana,Americas,South America,Democracy,2007
110,Guyana,Americas,South America,Democracy,2008
110,Guyana,Americas,South America,Democracy,2009
110,Guyana,Americas,South America,Democracy,2010
110,Guyana,Americas,South America,Democracy,2011
110,Guyana,Americas,South America,Democracy,2012
115,Suriname,Americas,South America,Democracy,2000
115,Suriname,Americas,South America,Democracy,2001
115,Suriname,Americas,South America,Democracy,2002
115,Suriname,Americas,South America,Democracy,2003
115,Suriname,Americas,South America,Democracy,2004
115,Suriname,Americas,South America,Democracy,2005
115,Suriname,Americas,South America,Democracy,2006
115,Suriname,Americas,South America,Democracy,2007
115,Suriname,Americas,South America,Democracy,2008
115,Suriname,Americas,South America,Democracy,2009
115,Suriname,Americas,South America,Democracy,2010
115,Suriname,Americas,South America,Democracy,2011
115,Suriname,Americas,South America,Democracy,2012
130,Ecuador,Americas,South America,Military,2000
130,Ecuador,Americas,South America,Military,2001
130,Ecuador,Americas,South America,Military,2002
130,Ecuador,Americas,South America,Democracy,2003
130,Ecuador,Americas,South America,Democracy,2004
130,Ecuador,Americas,South America,Democracy,2005
130,Ecuador,Americas,South America,Democracy,2006
130,Ecuador,Americas,South America,Democracy,2007
130,Ecuador,Americas,South America,Democracy,2008
130,Ecuador,Americas,South America,Democracy,2009
130,Ecuador,Americas,South America,Democracy,2010
130,Ecuador,Americas,South America,Democracy,2011
130,Ecuador,Americas,South America,Democracy,2012
135,Peru,Americas,South America,Multiparty,2000
135,Peru,Americas,South America,Democracy,2001
135,Peru,Americas,South America,Democracy,2002
135,Peru,Americas,South America,Democracy,2003
135,Peru,Americas,South America,Democracy,2004
135,Peru,Americas,South America,Democracy,2005
135,Peru,Americas,South America,Democracy,2006
135,Peru,Americas,South America,Democracy,2007
135,Peru,Americas,South America,Democracy,2008
135,Peru,Americas,South America,Democracy,2009
135,Peru,Americas,South America,Democracy,2010
135,Peru,Americas,South America,Democracy,2011
135,Peru,Americas,South America,Democracy,2012
140,Brazil,Americas,South America,Democracy,2000
140,Brazil,Americas,South America,Democracy,2001
140,Brazil,Americas,South America,Democracy,2002
140,Brazil,Americas,South America,Democracy,2003
140,Brazil,Americas,South America,Democracy,2004
140,Brazil,Americas,South America,Democracy,2005
140,Brazil,Americas,South America,Democracy,2006
140,Brazil,Americas,South America,Democracy,2007
140,Brazil,Americas,South America,Democracy,2008
140,Brazil,Americas,South America,Democracy,2009
140,Brazil,Americas,South America,Democracy,2010
140,Brazil,Americas,South America,Democracy,2011
140,Brazil,Americas,South America,Democracy,2012
145,Bolivia,Americas,South America,Democracy,2000
145,Bolivia,Americas,South America,Democracy,2001
145,Bolivia,Americas,South America,Democracy,2002
145,Bolivia,Americas,South America,Democracy,2003
145,Bolivia,Americas,South America,Democracy,2004
145,Bolivia,Americas,South America,Democracy,2005
145,Bolivia,Americas,South America,Democracy,2006
145,Bolivia,Americas,South America,Democracy,2007
145,Bolivia,Americas,South America,Democracy,2008
145,Bolivia,Americas,South America,Democracy,2009
145,Bolivia,Americas,South America,Democracy,2010
145,Bolivia,Americas,South America,Democracy,2011
145,Bolivia,Americas,South America,Democracy,2012
150,Paraguay,Americas,South America,Democracy,2000
150,Paraguay,Americas,South America,Democracy,2001
150,Paraguay,Americas,South America,Democracy,2002
150,Paraguay,Americas,South America,Democracy,2003
150,Paraguay,Americas,South America,Democracy,2004
150,Paraguay,Americas,South America,Democracy,2005
150,Paraguay,Americas,South America,Democracy,2006
150,Paraguay,Americas,South America,Democracy,2007
150,Paraguay,Americas,South America,Democracy,2008
150,Paraguay,Americas,South America,Democracy,2009
150,Paraguay,Americas,South America,Democracy,2010
150,Paraguay,Americas,South America,Democracy,2011
150,Paraguay,Americas,South America,Democracy,2012
155,Chile,Americas,South America,Democracy,2000
155,Chile,Americas,South America,Democracy,2001
155,Chile,Americas,South America,Democracy,2002
155,Chile,Americas,South America,Democracy,2003
155,Chile,Americas,South America,Democracy,2004
155,Chile,Americas,South America,Democracy,2005
155,Chile,Americas,South America,Democracy,2006
155,Chile,Americas,South America,Democracy,2007
155,Chile,Americas,South America,Democracy,2008
155,Chile,Americas,South America,Democracy,2009
155,Chile,Americas,South America,Democracy,2010
155,Chile,Americas,South America,Democracy,2011
155,Chile,Americas,South America,Democracy,2012
160,Argentina,Americas,South America,Democracy,2000
160,Argentina,Americas,South America,Democracy,2001
160,Argentina,Americas,South America,Democracy,2002
160,Argentina,Americas,South America,Democracy,2003
160,Argentina,Americas,South America,Democracy,2004
160,Argentina,Americas,South America,Democracy,2005
160,Argentina,Americas,South America,Democracy,2006
160,Argentina,Americas,South America,Democracy,2007
160,Argentina,Americas,South America,Democracy,2008
160,Argentina,Americas,South America,Democracy,2009
160,Argentina,Americas,South America,Democracy,2010
160,Argentina,Americas,South America,Democracy,2011
160,Argentina,Americas,South America,Democracy,2012
165,Uruguay,Americas,South America,Democracy,2000
165,Uruguay,Americas,South America,Democracy,2001
165,Uruguay,Americas,South America,Democracy,2002
165,Uruguay,Americas,South America,Democracy,2003
165,Uruguay,Americas,South America,Democracy,2004
165,Uruguay,Americas,South America,Democracy,2005
165,Uruguay,Americas,South America,Democracy,2006
165,Uruguay,Americas,South America,Democracy,2007
165,Uruguay,Americas,South America,Democracy,2008
165,Uruguay,Americas,South America,Democracy,2009
165,Uruguay,Americas,South America,Democracy,2010
165,Uruguay,Americas,South America,Democracy,2011
165,Uruguay,Americas,South America,Democracy,2012
200,United Kingdom,Europe,Northern Europe,Democracy,2000
200,United Kingdom,Europe,Northern Europe,Democracy,2001
200,United Kingdom,Europe,Northern Europe,Democracy,2002
